Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.1	0.1	0.1428	0.2299	0.13	0.9896	0.0334	0.9167	0.017	
0.1	0.11	0.1448	0.2303	0.1303	0.9896	0.0379	0.9259	0.0193	
0.1	0.12	0.1448	0.2294	0.1298	0.9844	0.0393	0.8966	0.0201	
0.1	0.13	0.1455	0.2286	0.1294	0.9792	0.0423	0.875	0.0217	
0.1	0.14	0.1448	0.2275	0.1288	0.974	0.0422	0.8485	0.0217	
0.1	0.15	0.1441	0.2264	0.1282	0.9688	0.0422	0.8235	0.0217	
0.1	0.16	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.17	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.18	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.19	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.2	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.21	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.22	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.23	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.24	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.25	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.26	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.27	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.28	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.29	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.3	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.31	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.32	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.33	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.34	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.35	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.36	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.37	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.38	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.39	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.4	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.41	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.42	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.43	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.44	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.45	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.46	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.47	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.48	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.49	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.5	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.51	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.52	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.53	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.54	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.55	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.56	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.57	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.58	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.59	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.6	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.61	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.62	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.63	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.64	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.65	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.66	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.67	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.68	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.69	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.7	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.71	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.72	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.73	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.74	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.75	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.76	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.77	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.78	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.79	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.8	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.81	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.82	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.83	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.84	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.85	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.86	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.87	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.88	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.89	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.1	0.9	0.1434	0.2253	0.1276	0.9635	0.0422	0.8	0.0217	
0.11	0.1	0.1455	0.2304	0.1304	0.9896	0.0394	0.9286	0.0201	
0.11	0.11	0.1556	0.2326	0.1318	0.9896	0.0614	0.9535	0.0317	
0.11	0.12	0.1603	0.2326	0.1319	0.9844	0.0729	0.9423	0.0379	
0.11	0.13	0.1636	0.2324	0.1318	0.9792	0.0814	0.9322	0.0425	
0.11	0.14	0.1643	0.2316	0.1314	0.974	0.0841	0.9194	0.0441	
0.11	0.15	0.163	0.2294	0.1302	0.9635	0.084	0.8906	0.0441	
0.11	0.16	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.17	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.18	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.19	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.2	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.21	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.22	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.23	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.24	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.25	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.26	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.27	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.28	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.29	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.3	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.31	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.32	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.33	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.34	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
0.11	0.35	0.1623	0.2283	0.1296	0.9583	0.0839	0.8769	0.0441	
