Path	Red F1
ACC64_VALACC42_RL2_C256_N10_E10_BS128_LR0.005	0.229	
ACC64_VALACC58_RL1_C256_N10_E5_BS128_LR0.0005	0.2351	
ACC65_VALACC53_RL2_C64_N10_E5_BS128_LR0.01	0.2522	
ACC65_VALACC54_RL1_C64_N10_E10_BS128_LR0.005	0.4861	
ACC65_VALACC56_RL1_C256_N10_E20_BS128_LR0.01	0.4743	
ACC65_VALACC57_RL1_C16_N10_E5_BS128_LR0.0005	0.4754	
ACC65_VALACC57_RL1_C16_N10_E5_BS128_LR0.01	0.2659	
ACC65_VALACC57_RL1_C64_N10_E5_BS128_LR0.01	0.531	
ACC65_VALACC58_RL1_C16_N10_E20_BS128_LR0.005	0.4346	
ACC65_VALACC58_RL1_C16_N10_E5_BS128_LR0.005	0.2849	
ACC65_VALACC58_RL1_C256_N10_E5_BS128_LR0.001	0.4063	
ACC65_VALACC58_RL1_C256_N10_E5_BS128_LR0.005	0.2406	
ACC65_VALACC58_RL1_C64_N10_E10_BS128_LR0.0005	0.4267	
ACC65_VALACC58_RL1_C64_N10_E20_BS128_LR0.001	0.3727	
ACC65_VALACC58_RL1_C64_N10_E5_BS128_LR0.0005	0.2339	
ACC65_VALACC58_RL1_C64_N10_E5_BS128_LR0.001	0.2582	
ACC65_VALACC58_RL1_C64_N10_E5_BS128_LR0.005	0.3465	
ACC65_VALACC60_RL1_C16_N10_E20_BS128_LR0.01	0.5393	
ACC65_VALACC60_RL1_C16_N10_E5_BS128_LR0.001	0.2778	
ACC65_VALACC60_RL1_C256_N10_E10_BS128_LR0.005	0.3976	
ACC65_VALACC60_RL2_C16_N10_E5_BS128_LR0.0005	0.446	
ACC65_VALACC61_RL1_C256_N10_E10_BS128_LR0.0005	0.4523	
ACC65_VALACC61_RL1_C256_N10_E5_BS128_LR0.01	0.4828	
ACC65_VALACC61_RL1_C64_N10_E20_BS128_LR0.01	0.4677	
ACC65_VALACC62_RL1_C16_N10_E10_BS128_LR0.0005	0.4951	
ACC65_VALACC62_RL1_C16_N10_E20_BS128_LR0.001	0.4438	
ACC65_VALACC63_RL1_C16_N10_E10_BS128_LR0.01	0.5434	
ACC65_VALACC63_RL1_C256_N10_E20_BS128_LR0.005	0.3614	
ACC65_VALACC63_RL1_C64_N10_E10_BS128_LR0.001	0.5465	
ACC65_VALACC64_RL1_C64_N10_E10_BS128_LR0.01	0.5394	
ACC65_VALACC65_RL1_C256_N10_E10_BS128_LR0.01	0.4177	
ACC65_VALACC66_RL1_C16_N10_E10_BS128_LR0.005	0.4657	
ACC65_VALACC66_RL1_C256_N10_E10_BS128_LR0.001	0.5079	
ACC65_VALACC66_RL1_C64_N10_E20_BS128_LR0.0005	0.4976	
ACC65_VALACC67_RL1_C256_N10_E20_BS128_LR0.0005	0.4948	
ACC66_VALACC50_RL2_C256_N10_E5_BS128_LR0.01	0.2346	
ACC66_VALACC51_RL1_C64_N10_E20_BS128_LR0.005	0.2684	
ACC66_VALACC51_RL2_C64_N10_E5_BS128_LR0.001	0.2625	
ACC66_VALACC54_RL2_C256_N10_E10_BS128_LR0.01	0.4076	
ACC66_VALACC55_RL2_C16_N10_E10_BS128_LR0.001	0.4534	
ACC66_VALACC57_RL2_C16_N10_E5_BS128_LR0.001	0.2755	
ACC66_VALACC58_RL1_C16_N10_E10_BS128_LR0.001	0.08	
ACC66_VALACC58_RL1_C256_N10_E20_BS128_LR0.001	0.5275	
ACC66_VALACC58_RL2_C16_N10_E5_BS128_LR0.005	0.2382	
ACC66_VALACC58_RL2_C16_N10_E5_BS128_LR0.01	0.2654	
