Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.1	0.1	0.132	0.2295	0.1296	1.0	0.0062	1.0	0.0031	
0.11	0.1	0.1354	0.2302	0.1301	1.0	0.0138	1.0	0.007	
0.12	0.1	0.136	0.2304	0.1302	1.0	0.0153	1.0	0.0077	
0.13	0.1	0.1367	0.2305	0.1303	1.0	0.0169	1.0	0.0085	
0.14	0.1	0.1374	0.2306	0.1303	1.0	0.0184	1.0	0.0093	
0.15	0.1	0.1387	0.2309	0.1305	1.0	0.0214	1.0	0.0108	
0.16	0.1	0.1387	0.2309	0.1305	1.0	0.0214	1.0	0.0108	
0.17	0.1	0.1394	0.231	0.1306	1.0	0.0229	1.0	0.0116	
0.18	0.1	0.1401	0.2312	0.1307	1.0	0.0244	1.0	0.0124	
0.19	0.1	0.1401	0.2312	0.1307	1.0	0.0244	1.0	0.0124	
0.2	0.1	0.1401	0.2312	0.1307	1.0	0.0244	1.0	0.0124	
0.21	0.1	0.1407	0.2313	0.1308	1.0	0.026	1.0	0.0131	
0.22	0.1	0.1414	0.2315	0.1309	1.0	0.0275	1.0	0.0139	
0.23	0.1	0.1414	0.2315	0.1309	1.0	0.0275	1.0	0.0139	
0.24	0.1	0.1414	0.2315	0.1309	1.0	0.0275	1.0	0.0139	
0.25	0.1	0.1414	0.2315	0.1309	1.0	0.0275	1.0	0.0139	
0.26	0.1	0.1414	0.2315	0.1309	1.0	0.0275	1.0	0.0139	
0.27	0.1	0.1421	0.2316	0.131	1.0	0.029	1.0	0.0147	
0.28	0.1	0.1428	0.2317	0.1311	1.0	0.0305	1.0	0.0155	
0.29	0.1	0.1428	0.2317	0.1311	1.0	0.0305	1.0	0.0155	
0.3	0.1	0.1428	0.2317	0.1311	1.0	0.0305	1.0	0.0155	
0.31	0.1	0.1428	0.2317	0.1311	1.0	0.0305	1.0	0.0155	
0.32	0.1	0.1428	0.2317	0.1311	1.0	0.0305	1.0	0.0155	
0.33	0.1	0.1428	0.2317	0.1311	1.0	0.0305	1.0	0.0155	
0.34	0.1	0.1428	0.2317	0.1311	1.0	0.0305	1.0	0.0155	
0.35	0.1	0.1428	0.2317	0.1311	1.0	0.0305	1.0	0.0155	
0.36	0.1	0.1434	0.2319	0.1311	1.0	0.032	1.0	0.0162	
0.37	0.1	0.1441	0.232	0.1312	1.0	0.0335	1.0	0.017	
0.38	0.1	0.1441	0.232	0.1312	1.0	0.0335	1.0	0.017	
0.39	0.1	0.1441	0.232	0.1312	1.0	0.0335	1.0	0.017	
0.4	0.1	0.1441	0.232	0.1312	1.0	0.0335	1.0	0.017	
0.41	0.1	0.1448	0.2322	0.1313	1.0	0.035	1.0	0.0178	
0.42	0.1	0.1448	0.2322	0.1313	1.0	0.035	1.0	0.0178	
0.43	0.1	0.1455	0.2323	0.1314	1.0	0.0364	1.0	0.0186	
0.44	0.1	0.1455	0.2323	0.1314	1.0	0.0364	1.0	0.0186	
0.45	0.1	0.1455	0.2323	0.1314	1.0	0.0364	1.0	0.0186	
0.46	0.1	0.1455	0.2323	0.1314	1.0	0.0364	1.0	0.0186	
0.47	0.1	0.1455	0.2323	0.1314	1.0	0.0364	1.0	0.0186	
0.48	0.1	0.1455	0.2323	0.1314	1.0	0.0364	1.0	0.0186	
0.49	0.1	0.1455	0.2323	0.1314	1.0	0.0364	1.0	0.0186	
0.5	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.51	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.52	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.53	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.54	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.55	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.56	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.57	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.58	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.59	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.6	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.61	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.62	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.63	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.64	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.65	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.66	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.67	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.68	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.69	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.7	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.71	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.72	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.73	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.74	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.75	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.76	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.77	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.78	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.79	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.8	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.81	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.82	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.83	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.84	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.85	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.86	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.87	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.88	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.89	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.9	0.1	0.1461	0.2324	0.1315	1.0	0.0379	1.0	0.0193	
0.1	0.11	0.1407	0.2313	0.1308	1.0	0.026	1.0	0.0131	
0.11	0.11	0.1522	0.2337	0.1323	1.0	0.0512	1.0	0.0263	
0.12	0.11	0.1556	0.2344	0.1328	1.0	0.0586	1.0	0.0302	
0.13	0.11	0.1582	0.235	0.1331	1.0	0.0644	1.0	0.0333	
0.14	0.11	0.1596	0.2353	0.1333	1.0	0.0673	1.0	0.0348	
0.15	0.11	0.1609	0.2356	0.1335	1.0	0.0701	1.0	0.0363	
0.16	0.11	0.1609	0.2356	0.1335	1.0	0.0701	1.0	0.0363	
0.17	0.11	0.1623	0.2359	0.1337	1.0	0.073	1.0	0.0379	
0.18	0.11	0.163	0.236	0.1338	1.0	0.0745	1.0	0.0387	
0.19	0.11	0.163	0.236	0.1338	1.0	0.0745	1.0	0.0387	
0.2	0.11	0.163	0.236	0.1338	1.0	0.0745	1.0	0.0387	
0.21	0.11	0.1636	0.2362	0.1339	1.0	0.0759	1.0	0.0394	
0.22	0.11	0.1643	0.2363	0.134	1.0	0.0773	1.0	0.0402	
0.23	0.11	0.1643	0.2363	0.134	1.0	0.0773	1.0	0.0402	
0.24	0.11	0.1643	0.2363	0.134	1.0	0.0773	1.0	0.0402	
0.25	0.11	0.1643	0.2363	0.134	1.0	0.0773	1.0	0.0402	
0.26	0.11	0.1643	0.2363	0.134	1.0	0.0773	1.0	0.0402	
0.27	0.11	0.165	0.2365	0.1341	1.0	0.0788	1.0	0.041	
0.28	0.11	0.1663	0.2367	0.1343	1.0	0.0816	1.0	0.0425	
0.29	0.11	0.1663	0.2367	0.1343	1.0	0.0816	1.0	0.0425	
0.3	0.11	0.1663	0.2367	0.1343	1.0	0.0816	1.0	0.0425	
0.31	0.11	0.1663	0.2367	0.1343	1.0	0.0816	1.0	0.0425	
0.32	0.11	0.1663	0.2367	0.1343	1.0	0.0816	1.0	0.0425	
0.33	0.11	0.1663	0.2367	0.1343	1.0	0.0816	1.0	0.0425	
0.34	0.11	0.1663	0.2367	0.1343	1.0	0.0816	1.0	0.0425	
0.35	0.11	0.1663	0.2367	0.1343	1.0	0.0816	1.0	0.0425	
0.36	0.11	0.167	0.2369	0.1344	1.0	0.083	1.0	0.0433	
0.37	0.11	0.1677	0.237	0.1345	1.0	0.0844	1.0	0.0441	
0.38	0.11	0.1677	0.237	0.1345	1.0	0.0844	1.0	0.0441	
0.39	0.11	0.1677	0.237	0.1345	1.0	0.0844	1.0	0.0441	
0.4	0.11	0.1677	0.237	0.1345	1.0	0.0844	1.0	0.0441	
0.41	0.11	0.1684	0.2372	0.1345	1.0	0.0859	1.0	0.0449	
0.42	0.11	0.1684	0.2372	0.1345	1.0	0.0859	1.0	0.0449	
0.43	0.11	0.169	0.2373	0.1346	1.0	0.0873	1.0	0.0456	
