Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall	Red F2R1P
0.02	0.02	0.2471	0.2557	0.1466	1.0	0.2384	1.0	0.1353	0.4620524457892083
0.02	0.022	0.2559	0.2579	0.14800000000000002	1.0	0.2539	1.0	0.1454	0.4648241206030151
0.02	0.024	0.2626	0.2596	0.1492	1.0	0.2656	1.0	0.1531	0.4671843687374749
0.02	0.026	0.268	0.261	0.1501	1.0	0.2748	1.0	0.1593	0.46894526368407896
0.02	0.028	0.2774	0.2636	0.1518	1.0	0.2908	1.0	0.1701	0.4722498755599801
0.02	0.03	0.2828	0.265	0.1527	1.0	0.2998	1.0	0.1763	0.4739880804569159
0.02	0.032	0.2848	0.2656	0.1531	1.0	0.3031	1.0	0.1787	0.4747581245348549
0.02	0.034	0.2889	0.2667	0.1538	1.0	0.3098	1.0	0.1833	0.4761020307082714
0.02	0.036000000000000004	0.2896	0.2669	0.154	1.0	0.3109	1.0	0.1841	0.4764851485148514
0.02	0.038	0.2916	0.2674	0.1543	1.0	0.3142	1.0	0.1864	0.4770591145189216
0.02	0.04	0.2929	0.2678	0.1546	1.0	0.3164	1.0	0.1879	0.4776322293623332
0.02	0.042	0.2949	0.2683	0.155	1.0	0.3197	1.0	0.1903	0.478395061728395
0.02	0.044	0.2963	0.2687	0.1552	1.0	0.3219	1.0	0.1918	0.4787759131293189
0.02	0.046	0.2976	0.2691	0.1555	1.0	0.324	1.0	0.1933	0.4793464858199754
0.02	0.048	0.2976	0.2691	0.1555	1.0	0.324	1.0	0.1933	0.4793464858199754
0.02	0.05	0.2976	0.2691	0.1555	1.0	0.324	1.0	0.1933	0.4793464858199754
0.02	0.052000000000000005	0.2983	0.2693	0.1556	1.0	0.3251	1.0	0.1941	0.4795364891518738
0.02	0.054000000000000006	0.2983	0.2693	0.1556	1.0	0.3251	1.0	0.1941	0.4795364891518738
0.02	0.056	0.2983	0.2693	0.1556	1.0	0.3251	1.0	0.1941	0.4795364891518738
0.02	0.058	0.2983	0.2693	0.1556	1.0	0.3251	1.0	0.1941	0.4795364891518738
