Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.04	0.04	0.4101	0.3025	0.1786	0.9896	0.4889	0.9952	0.3241	
0.04	0.045	0.4222	0.3069	0.1816	0.9896	0.5046	0.9954	0.338	
0.04	0.05	0.4249	0.3079	0.1823	0.9896	0.5081	0.9955	0.3411	
0.04	0.055	0.429	0.3094	0.1834	0.9896	0.5132	0.9955	0.3457	
0.04	0.06	0.4323	0.3107	0.1843	0.9896	0.5175	0.9956	0.3496	
0.04	0.065	0.4343	0.3115	0.1848	0.9896	0.52	0.9956	0.3519	
0.04	0.07	0.4364	0.3122	0.1854	0.9896	0.5225	0.9957	0.3542	
0.04	0.075	0.437	0.3125	0.1855	0.9896	0.5234	0.9957	0.355	
0.04	0.08	0.437	0.3125	0.1855	0.9896	0.5234	0.9957	0.355	
0.04	0.085	0.4364	0.3111	0.1848	0.9844	0.5231	0.9935	0.355	
0.04	0.09	0.4364	0.3111	0.1848	0.9844	0.5231	0.9935	0.355	
0.04	0.095	0.4364	0.3111	0.1848	0.9844	0.5231	0.9935	0.355	
0.04	0.1	0.4364	0.3111	0.1848	0.9844	0.5231	0.9935	0.355	
0.04	0.105	0.4364	0.3111	0.1848	0.9844	0.5231	0.9935	0.355	
0.04	0.11	0.4357	0.3097	0.184	0.9792	0.5228	0.9914	0.355	
0.04	0.115	0.435	0.3083	0.1832	0.974	0.5225	0.9892	0.355	
0.04	0.12	0.435	0.3083	0.1832	0.974	0.5225	0.9892	0.355	
0.04	0.125	0.4357	0.3086	0.1833	0.974	0.5233	0.9892	0.3558	
0.04	0.13	0.4357	0.3086	0.1833	0.974	0.5233	0.9892	0.3558	
0.04	0.135	0.4357	0.3086	0.1833	0.974	0.5233	0.9892	0.3558	
0.04	0.14	0.4357	0.3086	0.1833	0.974	0.5233	0.9892	0.3558	
0.04	0.145	0.4357	0.3086	0.1833	0.974	0.5233	0.9892	0.3558	
0.04	0.15	0.4357	0.3086	0.1833	0.974	0.5233	0.9892	0.3558	
0.045	0.04	0.433	0.3098	0.1839	0.9844	0.5189	0.9934	0.3511	
0.045	0.045	0.4512	0.3168	0.1888	0.9844	0.5414	0.9938	0.372	
0.045	0.05	0.4579	0.3195	0.1907	0.9844	0.5495	0.9939	0.3797	
0.045	0.055	0.4667	0.3231	0.1933	0.9844	0.56	0.9941	0.3898	
0.045	0.06	0.4727	0.3256	0.195	0.9844	0.5672	0.9942	0.3968	
0.045	0.065	0.4768	0.3273	0.1963	0.9844	0.5719	0.9943	0.4014	
0.045	0.07	0.4795	0.3284	0.1971	0.9844	0.575	0.9943	0.4045	
0.045	0.075	0.4808	0.329	0.1975	0.9844	0.5766	0.9943	0.406	
0.045	0.08	0.4808	0.329	0.1975	0.9844	0.5766	0.9943	0.406	
0.045	0.085	0.4808	0.3278	0.1969	0.9792	0.5771	0.9925	0.4068	
0.045	0.09	0.4815	0.3281	0.1971	0.9792	0.5779	0.9925	0.4076	
0.045	0.095	0.4815	0.3281	0.1971	0.9792	0.5779	0.9925	0.4076	
0.045	0.1	0.4815	0.3281	0.1971	0.9792	0.5779	0.9925	0.4076	
0.045	0.105	0.4815	0.3281	0.1971	0.9792	0.5779	0.9925	0.4076	
0.045	0.11	0.4808	0.3266	0.1962	0.974	0.5775	0.9906	0.4076	
0.045	0.115	0.4801	0.3252	0.1954	0.9688	0.5772	0.9887	0.4076	
0.045	0.12	0.4801	0.3252	0.1954	0.9688	0.5772	0.9887	0.4076	
0.045	0.125	0.4808	0.3255	0.1956	0.9688	0.578	0.9888	0.4084	
0.045	0.13	0.4808	0.3255	0.1956	0.9688	0.578	0.9888	0.4084	
0.045	0.135	0.4808	0.3255	0.1956	0.9688	0.578	0.9888	0.4084	
0.045	0.14	0.4808	0.3255	0.1956	0.9688	0.578	0.9888	0.4084	
0.045	0.145	0.4808	0.3255	0.1956	0.9688	0.578	0.9888	0.4084	
0.045	0.15	0.4808	0.3255	0.1956	0.9688	0.578	0.9888	0.4084	
0.05	0.04	0.4485	0.3158	0.1881	0.9844	0.5381	0.9938	0.3689	
0.05	0.045	0.4741	0.3261	0.1954	0.9844	0.5687	0.9942	0.3983	
0.05	0.05	0.4875	0.3319	0.1996	0.9844	0.5844	0.9944	0.4138	
0.05	0.055	0.5051	0.3396	0.2052	0.9844	0.6042	0.9947	0.4339	
0.05	0.06	0.5192	0.3462	0.21	0.9844	0.6198	0.9949	0.4501	
0.05	0.065	0.5253	0.349	0.2121	0.9844	0.6264	0.9949	0.4571	
0.05	0.07	0.5313	0.352	0.2143	0.9844	0.6329	0.995	0.464	
0.05	0.075	0.534	0.3533	0.2153	0.9844	0.6358	0.9951	0.4671	
0.05	0.08	0.5347	0.3536	0.2155	0.9844	0.6365	0.9951	0.4679	
0.05	0.085	0.5354	0.3527	0.2151	0.9792	0.6376	0.9935	0.4695	
0.05	0.09	0.5367	0.3534	0.2156	0.9792	0.639	0.9935	0.471	
0.05	0.095	0.5367	0.3534	0.2156	0.9792	0.639	0.9935	0.471	
0.05	0.1	0.5367	0.3534	0.2156	0.9792	0.639	0.9935	0.471	
0.05	0.105	0.5367	0.3534	0.2156	0.9792	0.639	0.9935	0.471	
0.05	0.11	0.536	0.3518	0.2147	0.974	0.6387	0.9919	0.471	
0.05	0.115	0.5354	0.3503	0.2138	0.9688	0.6384	0.9902	0.471	
0.05	0.12	0.5354	0.3503	0.2138	0.9688	0.6384	0.9902	0.471	
0.05	0.125	0.536	0.3506	0.214	0.9688	0.6391	0.9903	0.4718	
0.05	0.13	0.536	0.3506	0.214	0.9688	0.6391	0.9903	0.4718	
0.05	0.135	0.5354	0.3491	0.2131	0.9635	0.6387	0.9887	0.4718	
0.05	0.14	0.5354	0.3491	0.2131	0.9635	0.6387	0.9887	0.4718	
