	375	1	92	110	158	286	295	393	460	501	606	658	675
0	g	g	g	g	g	g	g	g	g	g	g	g	g
1	g	g	g	g	g	g	g	g	g	g	g	g	g
2	g	g	g	g	g	g	g	g	g	g	g	g	g
3	g	g	g	g	g	g	g	g	g	g	g	g	g
4	g	g	g	g	g	g	g	g	g	g	g	g	g
5	g	g	g	g	g	g	g	g	g	g	g	g	g
6	g	g	g	g	g	g	g	g	g	g	g	g	g
7	g	g	g	g	g	g	g	g	g	g	g	g	g
8	g	g	g	g	g	g	g	g	g	g	g	g	g
9	g	g	g	g	g	g	g	g	g	g	g	g	g
10	g	g	g	g	g	g	g	g	g	g	g	g	g
11	g	g	g	g	g	g	g	g	g	g	g	g	g
12	g	g	g	g	g	g	g	g	g	g	g	g	g
13	g	g	g	g	g	g	g	g	g	g	g	g	g
14	g	g	g	g	g	g	g	g	g	g	g	g	g
15	g	g	g	g	g	g	g	g	g	g	g	g	g
16	g	g	g	g	g	g	g	g	g	g	g	g	g
17	g	g	g	g	g	g	g	g	g	g	g	g	g
18	g	g	g	g	g	g	g	g	g	g	g	g	g
19	g	g	g	g	g	g	g	g	g	g	g	g	g
20	g	g	g	g	g	g	g	g	g	g	g	g	g
21	g	g	g	g	g	g	g	g	g	g	g	g	g
22	g	g	g	g	g	g	g	g	g	g	g	g	g
23	g	g	g	g	g	g	g	g	g	g	g	g	g
24	g	g	g	g	g	g	g	g	g	g	g	g	g
25	g	g	g	g	g	g	g	g	g	g	g	r	g
26	g	g	g	g	g	g	g	g	g	g	g	r	g
27	g	g	g	g	g	g	g	g	g	g	g	r	g
28	g	g	g	g	g	g	g	g	g	g	g	r	g
29	g	g	g	g	g	g	g	g	g	g	g	r	g
30	g	g	g	g	g	g	g	g	g	g	g	r	g
31	g	g	g	g	g	g	g	g	g	g	g	r	g
32	g	g	g	g	g	g	g	r	g	g	g	r	g
33	g	g	g	g	g	g	g	r	g	g	g	r	g
34	g	g	g	g	g	g	g	r	g	g	g	r	g
35	g	g	g	g	g	g	g	r	g	g	g	r	g
36	g	g	g	g	g	g	g	r	g	g	g	r	g
37	g	g	g	g	g	g	g	r	g	g	g	r	g
38	g	g	g	g	g	g	g	g	g	g	g	r	g
39	g	g	g	g	g	g	g	g	g	g	g	r	g
40	g	g	g	g	g	g	g	g	g	g	g	r	g
41	g	g	g	g	g	g	g	g	g	g	g	r	g
42	g	g	g	g	g	g	g	g	g	g	g	r	g
43	g	g	g	g	g	g	g	g	g	g	g	r	g
44	g	g	g	g	g	g	g	g	g	g	g	r	g
45	g	g	r	g	g	g	g		g	g	g	r	g
46	g	g	r	g	g	g	g		g	g	g	r	g
47	g	g	r	g	g	g	g		g	g	g	r	g
48	g	g	r	g	g	g	g		g	g	g	r	g
49	g	g	g	g	g	g	g		g	g	r	r	g
