Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall	Red F2R1P
0.02	0.02	0.5138	0.3339	0.2029	0.9427	0.6172	0.9815	0.4501	0.5451571281992817
0.02	0.022000000000000002	0.5421	0.3474	0.2129	0.9427	0.6473	0.9827	0.4826	0.5592733377918965
0.02	0.024	0.5549	0.3526	0.2171	0.9375	0.6609	0.9817	0.4981	0.5635174982003434
0.02	0.026000000000000002	0.5684	0.3584	0.2218	0.9323	0.6748	0.9808	0.5143	0.5682444078043418
0.02	0.027999999999999997	0.5751	0.3594	0.2232	0.9219	0.6821	0.9783	0.5236	0.5669479252769053
0.02	0.03	0.5832	0.3638	0.2266	0.9219	0.69	0.9787	0.5329	0.5713026855548871
0.02	0.032	0.5865	0.3644	0.2274	0.9167	0.6936	0.9775	0.5375	0.5707101242950228
0.02	0.034	0.5899	0.3663	0.2289	0.9167	0.6969	0.9777	0.5414	0.5725935436336843
0.02	0.036000000000000004	0.5939	0.3686	0.2307	0.9167	0.7007	0.9778	0.546	0.5748374286490894
0.02	0.038	0.5987	0.37	0.2321	0.9115	0.7055	0.9767	0.5522	0.5749202402304474
0.02	0.04	0.6027	0.3723	0.23399999999999999	0.9115	0.7094	0.9769	0.5568	0.5772422192151556
0.02	0.042	0.604	0.3731	0.2346	0.9115	0.7106	0.977	0.5584	0.5779715119736203
0.02	0.044000000000000004	0.604	0.3731	0.2346	0.9115	0.7106	0.977	0.5584	0.5779715119736203
0.02	0.046	0.6054	0.3739	0.2352	0.9115	0.7119	0.9771	0.5599	0.5786989148626032
0.02	0.048	0.6067	0.3747	0.2358	0.9115	0.7132	0.9771	0.5615	0.5794244352186337
0.02	0.05	0.6067	0.3747	0.2358	0.9115	0.7132	0.9771	0.5615	0.5794244352186337
0.02	0.052000000000000005	0.6074	0.3751	0.2362	0.9115	0.7138	0.9772	0.5623	0.5799070732101492
0.02	0.054000000000000006	0.6074	0.3751	0.2362	0.9115	0.7138	0.9772	0.5623	0.5799070732101492
0.02	0.055999999999999994	0.6074	0.3751	0.2362	0.9115	0.7138	0.9772	0.5623	0.5799070732101492
0.02	0.057999999999999996	0.6094	0.3763	0.2371	0.9115	0.7157	0.9772	0.5646	0.5809899725791708
