Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.04	0.04	0.8081	0.5351	0.3895	0.8542	0.8791	0.9737	0.8012	
0.04	0.045	0.8182	0.5485	0.4039	0.8542	0.8862	0.9741	0.8128	
0.04	0.05	0.8276	0.5601	0.4179	0.849	0.8928	0.9735	0.8244	
0.04	0.055	0.8316	0.566	0.4245	0.849	0.8956	0.9737	0.8291	
0.04	0.06	0.8357	0.5704	0.4309	0.8438	0.8984	0.9729	0.8345	
0.04	0.065	0.8357	0.5674	0.4301	0.8333	0.8986	0.9712	0.836	
0.04	0.07	0.8391	0.5725	0.436	0.8333	0.9009	0.9714	0.8399	
0.04	0.075	0.8404	0.573	0.438	0.8281	0.9019	0.9706	0.8422	
0.04	0.08	0.8418	0.575	0.4404	0.8281	0.9028	0.9706	0.8438	
0.04	0.085	0.8418	0.575	0.4404	0.8281	0.9028	0.9706	0.8438	
0.04	0.09	0.8404	0.5699	0.4373	0.8177	0.902	0.9689	0.8438	
0.04	0.095	0.8418	0.5719	0.4398	0.8177	0.9029	0.969	0.8453	
0.04	0.1	0.8438	0.5751	0.4435	0.8177	0.9043	0.9691	0.8476	
0.04	0.105	0.8438	0.5751	0.4435	0.8177	0.9043	0.9691	0.8476	
0.04	0.11	0.8431	0.5725	0.4419	0.8125	0.9039	0.9682	0.8476	
0.04	0.115	0.8424	0.5699	0.4403	0.8073	0.9035	0.9673	0.8476	
0.04	0.12	0.8424	0.5683	0.44	0.8021	0.9036	0.9665	0.8484	
0.04	0.125	0.8424	0.5683	0.44	0.8021	0.9036	0.9665	0.8484	
0.04	0.13	0.8418	0.5656	0.4384	0.7969	0.9033	0.9657	0.8484	
0.04	0.135	0.8418	0.5656	0.4384	0.7969	0.9033	0.9657	0.8484	
0.04	0.14	0.8418	0.5656	0.4384	0.7969	0.9033	0.9657	0.8484	
0.04	0.145	0.8418	0.5656	0.4384	0.7969	0.9033	0.9657	0.8484	
0.04	0.15	0.8418	0.5656	0.4384	0.7969	0.9033	0.9657	0.8484	
0.045	0.04	0.8229	0.552	0.4101	0.8438	0.8896	0.9725	0.8198	
0.045	0.045	0.8343	0.5684	0.4286	0.8438	0.8975	0.9729	0.8329	
0.045	0.05	0.8451	0.5833	0.4472	0.8385	0.9049	0.9724	0.8461	
0.045	0.055	0.8498	0.5908	0.4561	0.8385	0.908	0.9726	0.8515	
0.045	0.06	0.8539	0.5959	0.4638	0.8333	0.9108	0.9719	0.8569	
0.045	0.065	0.8532	0.5902	0.4618	0.8177	0.9106	0.9694	0.8585	
0.045	0.07	0.8559	0.5932	0.4671	0.8125	0.9124	0.9687	0.8623	
0.045	0.075	0.8572	0.5939	0.4697	0.8073	0.9134	0.968	0.8647	
0.045	0.08	0.8593	0.5973	0.474	0.8073	0.9147	0.968	0.867	
0.045	0.085	0.8586	0.5946	0.4724	0.8021	0.9144	0.9672	0.867	
0.045	0.09	0.8572	0.5891	0.4691	0.7917	0.9136	0.9655	0.867	
0.045	0.095	0.8579	0.5887	0.4704	0.7865	0.9141	0.9648	0.8685	
0.045	0.1	0.8599	0.5922	0.4748	0.7865	0.9154	0.9649	0.8708	
0.045	0.105	0.8599	0.5922	0.4748	0.7865	0.9154	0.9649	0.8708	
0.045	0.11	0.8593	0.5894	0.4732	0.7812	0.9151	0.964	0.8708	
0.045	0.115	0.8586	0.5866	0.4715	0.776	0.9147	0.9632	0.8708	
0.045	0.12	0.8586	0.585	0.4713	0.7708	0.9148	0.9624	0.8716	
0.045	0.125	0.8586	0.585	0.4713	0.7708	0.9148	0.9624	0.8716	
0.045	0.13	0.8579	0.5822	0.4696	0.7656	0.9144	0.9616	0.8716	
0.045	0.135	0.8579	0.5822	0.4696	0.7656	0.9144	0.9616	0.8716	
0.045	0.14	0.8579	0.5822	0.4696	0.7656	0.9144	0.9616	0.8716	
0.045	0.145	0.8579	0.5822	0.4696	0.7656	0.9144	0.9616	0.8716	
0.045	0.15	0.8579	0.5822	0.4696	0.7656	0.9144	0.9616	0.8716	
0.05	0.04	0.8343	0.5684	0.4286	0.8438	0.8975	0.9729	0.8329	
0.05	0.045	0.8471	0.588	0.4513	0.8438	0.9062	0.9734	0.8476	
0.05	0.05	0.8579	0.6011	0.4718	0.8281	0.9136	0.9713	0.8623	
0.05	0.055	0.864	0.6115	0.4848	0.8281	0.9176	0.9715	0.8693	
0.05	0.06	0.8694	0.6196	0.4969	0.8229	0.9211	0.9709	0.8763	
0.05	0.065	0.87	0.6163	0.4984	0.8073	0.9218	0.9685	0.8794	
0.05	0.07	0.8727	0.6197	0.5049	0.8021	0.9236	0.9678	0.8832	
0.05	0.075	0.8741	0.6207	0.5083	0.7969	0.9245	0.9671	0.8855	
0.05	0.08	0.8761	0.6245	0.5134	0.7969	0.9258	0.9671	0.8879	
0.05	0.085	0.8754	0.6217	0.5118	0.7917	0.9254	0.9663	0.8879	
0.05	0.09	0.8741	0.616	0.5085	0.7812	0.9247	0.9647	0.8879	
0.05	0.095	0.8747	0.6157	0.5103	0.776	0.9252	0.964	0.8894	
0.05	0.1	0.8768	0.6195	0.5156	0.776	0.9265	0.964	0.8917	
0.05	0.105	0.8768	0.6195	0.5156	0.776	0.9265	0.964	0.8917	
0.05	0.11	0.8761	0.6167	0.5139	0.7708	0.9261	0.9632	0.8917	
0.05	0.115	0.8754	0.6138	0.5122	0.7656	0.9257	0.9624	0.8917	
0.05	0.12	0.8754	0.6122	0.5123	0.7604	0.9258	0.9617	0.8925	
0.05	0.125	0.8754	0.6122	0.5123	0.7604	0.9258	0.9617	0.8925	
0.05	0.13	0.8747	0.6092	0.5106	0.7552	0.9254	0.9609	0.8925	
0.05	0.135	0.8754	0.6105	0.5124	0.7552	0.9259	0.9609	0.8933	
0.05	0.14	0.8754	0.6105	0.5124	0.7552	0.9259	0.9609	0.8933	
0.05	0.145	0.8754	0.6105	0.5124	0.7552	0.9259	0.9609	0.8933	
0.05	0.15	0.8754	0.6105	0.5124	0.7552	0.9259	0.9609	0.8933	
0.055	0.04	0.8384	0.5683	0.4341	0.8229	0.9006	0.9697	0.8407	
0.055	0.045	0.8525	0.5907	0.4606	0.8229	0.9101	0.9702	0.8569	
0.055	0.05	0.8646	0.6067	0.4859	0.8073	0.9183	0.9683	0.8732	
0.055	0.055	0.8707	0.6175	0.5	0.8073	0.9222	0.9685	0.8801	
0.055	0.06	0.8768	0.6273	0.5151	0.8021	0.9262	0.968	0.8879	
0.055	0.065	0.8774	0.624	0.5171	0.7865	0.9268	0.9656	0.891	
0.055	0.07	0.8801	0.6276	0.5245	0.7812	0.9286	0.965	0.8948	
0.055	0.075	0.8815	0.6287	0.5284	0.776	0.9295	0.9643	0.8971	
0.055	0.08	0.8835	0.6327	0.5341	0.776	0.9308	0.9643	0.8995	
0.055	0.085	0.8828	0.6298	0.5324	0.7708	0.9304	0.9635	0.8995	
0.055	0.09	0.8815	0.6239	0.529	0.7604	0.9297	0.962	0.8995	
0.055	0.095	0.8822	0.6237	0.5311	0.7552	0.9301	0.9612	0.901	
0.055	0.1	0.8842	0.6277	0.537	0.7552	0.9314	0.9613	0.9033	
0.055	0.105	0.8842	0.6277	0.537	0.7552	0.9314	0.9613	0.9033	
0.055	0.11	0.8835	0.6247	0.5353	0.75	0.931	0.9605	0.9033	
0.055	0.115	0.8828	0.6217	0.5336	0.7448	0.9307	0.9597	0.9033	
0.055	0.12	0.8835	0.6214	0.5358	0.7396	0.9312	0.959	0.9049	
0.055	0.125	0.8835	0.6214	0.5358	0.7396	0.9312	0.959	0.9049	
0.055	0.13	0.8828	0.6184	0.5341	0.7344	0.9308	0.9582	0.9049	
0.055	0.135	0.8835	0.6198	0.5361	0.7344	0.9312	0.9583	0.9056	
0.055	0.14	0.8835	0.6198	0.5361	0.7344	0.9312	0.9583	0.9056	
0.055	0.145	0.8835	0.6198	0.5361	0.7344	0.9312	0.9583	0.9056	
0.055	0.15	0.8835	0.6198	0.5361	0.7344	0.9312	0.9583	0.9056	
0.06	0.04	0.8458	0.5767	0.447	0.8125	0.9057	0.9683	0.8507	
0.06	0.045	0.862	0.6035	0.48	0.8125	0.9164	0.969	0.8693	
0.06	0.05	0.8734	0.6163	0.5067	0.7865	0.9242	0.9655	0.8863	
0.06	0.055	0.8815	0.6318	0.528	0.7865	0.9294	0.9658	0.8956	
0.06	0.06	0.8875	0.6424	0.5455	0.7812	0.9333	0.9653	0.9033	
0.06	0.065	0.8882	0.6391	0.5485	0.7656	0.9339	0.963	0.9064	
0.06	0.07	0.8916	0.6446	0.5594	0.7604	0.936	0.9624	0.9111	
0.06	0.075	0.8936	0.6473	0.5664	0.7552	0.9374	0.9618	0.9142	
0.06	0.08	0.8963	0.6532	0.5754	0.7552	0.939	0.9619	0.9172	
0.06	0.085	0.8956	0.6501	0.5737	0.75	0.9387	0.9611	0.9172	
0.06	0.09	0.8943	0.644	0.5703	0.7396	0.9379	0.9595	0.9172	
0.06	0.095	0.8949	0.6438	0.5732	0.7344	0.9384	0.9588	0.9188	
0.06	0.1	0.897	0.6483	0.5802	0.7344	0.9396	0.9589	0.9211	
0.06	0.105	0.897	0.6483	0.5802	0.7344	0.9396	0.9589	0.9211	
0.06	0.11	0.8963	0.6452	0.5785	0.7292	0.9393	0.9582	0.9211	
0.06	0.115	0.8956	0.642	0.5768	0.724	0.9389	0.9574	0.9211	
0.06	0.12	0.8963	0.6419	0.5798	0.7188	0.9394	0.9567	0.9227	
0.06	0.125	0.8963	0.6419	0.5798	0.7188	0.9394	0.9567	0.9227	
0.06	0.13	0.8956	0.6387	0.5781	0.7135	0.939	0.9559	0.9227	
0.06	0.135	0.8956	0.637	0.5787	0.7083	0.939	0.9552	0.9234	
0.06	0.14	0.8956	0.637	0.5787	0.7083	0.939	0.9552	0.9234	
0.06	0.145	0.8956	0.637	0.5787	0.7083	0.939	0.9552	0.9234	
0.06	0.15	0.8956	0.637	0.5787	0.7083	0.939	0.9552	0.9234	
0.065	0.04	0.8492	0.5805	0.4532	0.8073	0.908	0.9676	0.8554	
0.065	0.045	0.8646	0.6051	0.4858	0.8021	0.9183	0.9675	0.8739	
0.065	0.05	0.8768	0.6195	0.5156	0.776	0.9265	0.964	0.8917	
0.065	0.055	0.8842	0.6325	0.5362	0.7708	0.9313	0.9636	0.901	
0.065	0.06	0.8896	0.6404	0.553	0.7604	0.9348	0.9623	0.9087	
0.065	0.065	0.8902	0.637	0.5564	0.7448	0.9353	0.9601	0.9118	
0.065	0.07	0.8936	0.6425	0.568	0.7396	0.9375	0.9595	0.9165	
0.065	0.075	0.8956	0.6453	0.5755	0.7344	0.9388	0.9589	0.9196	
0.065	0.08	0.899	0.6528	0.5875	0.7344	0.9409	0.959	0.9234	
0.065	0.085	0.8983	0.6497	0.5858	0.7292	0.9405	0.9583	0.9234	
0.065	0.09	0.897	0.6434	0.5823	0.7188	0.9398	0.9567	0.9234	
0.065	0.095	0.8983	0.6447	0.588	0.7135	0.9407	0.9561	0.9258	
0.065	0.1	0.9003	0.6493	0.5957	0.7135	0.9419	0.9562	0.9281	
0.065	0.105	0.9003	0.6493	0.5957	0.7135	0.9419	0.9562	0.9281	
0.065	0.11	0.8997	0.6461	0.5939	0.7083	0.9415	0.9554	0.9281	
0.065	0.115	0.899	0.6429	0.5921	0.7031	0.9412	0.9547	0.9281	
0.065	0.12	0.8997	0.6427	0.5956	0.6979	0.9416	0.954	0.9296	
0.065	0.125	0.8997	0.6427	0.5956	0.6979	0.9416	0.954	0.9296	
0.065	0.13	0.899	0.6394	0.5938	0.6927	0.9413	0.9532	0.9296	
0.065	0.135	0.899	0.6377	0.5946	0.6875	0.9413	0.9525	0.9304	
0.065	0.14	0.899	0.6377	0.5946	0.6875	0.9413	0.9525	0.9304	
0.065	0.145	0.899	0.6377	0.5946	0.6875	0.9413	0.9525	0.9304	
0.065	0.15	0.899	0.6377	0.5946	0.6875	0.9413	0.9525	0.9304	
0.07	0.04	0.8485	0.5763	0.4513	0.7969	0.9077	0.966	0.8561	
0.07	0.045	0.8653	0.6032	0.4872	0.7917	0.9189	0.9659	0.8763	
0.07	0.05	0.8781	0.6189	0.5194	0.7656	0.9275	0.9626	0.8948	
0.07	0.055	0.8855	0.632	0.5407	0.7604	0.9322	0.9621	0.9041	
0.07	0.06	0.8909	0.64	0.5581	0.75	0.9357	0.9609	0.9118	
0.07	0.065	0.8923	0.638	0.564	0.7344	0.9367	0.9587	0.9157	
0.07	0.07	0.8963	0.6452	0.5785	0.7292	0.9393	0.9582	0.9211	
0.07	0.075	0.8983	0.648	0.5865	0.724	0.9406	0.9575	0.9242	
0.07	0.08	0.901	0.6525	0.5974	0.7188	0.9423	0.9569	0.9281	
0.07	0.085	0.9003	0.6493	0.5957	0.7135	0.9419	0.9562	0.9281	
0.07	0.09	0.899	0.6429	0.5921	0.7031	0.9412	0.9547	0.9281	
0.07	0.095	0.9003	0.6442	0.5982	0.6979	0.9421	0.954	0.9304	
0.07	0.1	0.9024	0.6489	0.6063	0.6979	0.9433	0.9541	0.9327	
0.07	0.105	0.9024	0.6489	0.6063	0.6979	0.9433	0.9541	0.9327	
0.07	0.11	0.9017	0.6456	0.6045	0.6927	0.9429	0.9534	0.9327	
0.07	0.115	0.901	0.6423	0.6027	0.6875	0.9426	0.9526	0.9327	
0.07	0.12	0.9017	0.6422	0.6065	0.6823	0.943	0.9519	0.9343	
0.07	0.125	0.9017	0.6422	0.6065	0.6823	0.943	0.9519	0.9343	
0.07	0.13	0.901	0.6388	0.6047	0.6771	0.9426	0.9512	0.9343	
0.07	0.135	0.901	0.637	0.6056	0.6719	0.9427	0.9505	0.935	
0.07	0.14	0.901	0.637	0.6056	0.6719	0.9427	0.9505	0.935	
0.07	0.145	0.901	0.637	0.6056	0.6719	0.9427	0.9505	0.935	
0.07	0.15	0.901	0.637	0.6056	0.6719	0.9427	0.9505	0.935	
0.075	0.04	0.8492	0.5774	0.4527	0.7969	0.9082	0.966	0.8569	
0.075	0.045	0.8667	0.6056	0.4903	0.7917	0.9198	0.966	0.8778	
0.075	0.05	0.8795	0.6216	0.5231	0.7656	0.9283	0.9626	0.8964	
0.075	0.055	0.8875	0.6362	0.5468	0.7604	0.9335	0.9622	0.9064	
0.075	0.06	0.8923	0.6413	0.563	0.7448	0.9366	0.9602	0.9142	
0.075	0.065	0.8936	0.6393	0.5691	0.7292	0.9376	0.958	0.918	
0.075	0.07	0.8976	0.6465	0.584	0.724	0.9402	0.9575	0.9234	
0.075	0.075	0.901	0.6525	0.5974	0.7188	0.9423	0.9569	0.9281	
0.075	0.08	0.9037	0.6571	0.6089	0.7135	0.944	0.9563	0.9319	
0.075	0.085	0.903	0.6538	0.6071	0.7083	0.9436	0.9556	0.9319	
0.075	0.09	0.9017	0.6473	0.6036	0.6979	0.9429	0.9541	0.9319	
0.075	0.095	0.903	0.6488	0.6101	0.6927	0.9437	0.9534	0.9343	
0.075	0.1	0.9051	0.6536	0.6186	0.6927	0.945	0.9535	0.9366	
0.075	0.105	0.9051	0.6536	0.6186	0.6927	0.945	0.9535	0.9366	
0.075	0.11	0.9044	0.6502	0.6168	0.6875	0.9446	0.9528	0.9366	
0.075	0.115	0.9037	0.6469	0.615	0.6823	0.9442	0.952	0.9366	
0.075	0.12	0.9057	0.65	0.625	0.6771	0.9455	0.9514	0.9397	
0.075	0.125	0.9057	0.65	0.625	0.6771	0.9455	0.9514	0.9397	
0.075	0.13	0.9051	0.6466	0.6232	0.6719	0.9452	0.9507	0.9397	
0.075	0.135	0.9051	0.6448	0.6244	0.6667	0.9452	0.95	0.9404	
0.075	0.14	0.9051	0.6448	0.6244	0.6667	0.9452	0.95	0.9404	
0.075	0.145	0.9051	0.6448	0.6244	0.6667	0.9452	0.95	0.9404	
0.075	0.15	0.9044	0.6414	0.6225	0.6615	0.9448	0.9493	0.9404	
0.08	0.04	0.8505	0.5747	0.4545	0.7812	0.9093	0.9636	0.8608	
0.08	0.045	0.868	0.6032	0.4934	0.776	0.9208	0.9637	0.8817	
0.08	0.05	0.8808	0.6194	0.5275	0.75	0.9293	0.9604	0.9002	
0.08	0.055	0.8889	0.6325	0.5525	0.7396	0.9345	0.9593	0.9111	
0.08	0.06	0.8936	0.6376	0.5697	0.724	0.9376	0.9573	0.9188	
0.08	0.065	0.8943	0.6323	0.5745	0.7031	0.9383	0.9544	0.9227	
0.08	0.07	0.8983	0.6396	0.5903	0.6979	0.9408	0.9539	0.9281	
0.08	0.075	0.9017	0.6456	0.6045	0.6927	0.9429	0.9534	0.9327	
0.08	0.08	0.9051	0.6519	0.6197	0.6875	0.945	0.9528	0.9374	
0.08	0.085	0.9044	0.6485	0.6179	0.6823	0.9447	0.9521	0.9374	
0.08	0.09	0.903	0.6418	0.6143	0.6719	0.9439	0.9506	0.9374	
0.08	0.095	0.9044	0.6432	0.6214	0.6667	0.9448	0.95	0.9397	
0.08	0.1	0.9064	0.6481	0.6305	0.6667	0.946	0.9501	0.942	
0.08	0.105	0.9064	0.6481	0.6305	0.6667	0.946	0.9501	0.942	
0.08	0.11	0.9057	0.6447	0.6287	0.6615	0.9457	0.9493	0.942	
0.08	0.115	0.9051	0.6412	0.6269	0.6562	0.9453	0.9486	0.942	
0.08	0.12	0.9071	0.6443	0.6378	0.651	0.9466	0.948	0.9451	
0.08	0.125	0.9071	0.6443	0.6378	0.651	0.9466	0.948	0.9451	
0.08	0.13	0.9064	0.6408	0.6359	0.6458	0.9462	0.9473	0.9451	
0.08	0.135	0.9064	0.639	0.6373	0.6406	0.9462	0.9466	0.9459	
0.08	0.14	0.9064	0.639	0.6373	0.6406	0.9462	0.9466	0.9459	
0.08	0.145	0.9064	0.639	0.6373	0.6406	0.9462	0.9466	0.9459	
0.08	0.15	0.9057	0.6354	0.6354	0.6354	0.9459	0.9459	0.9459	
0.085	0.04	0.8519	0.572	0.4565	0.7656	0.9104	0.9613	0.8647	
0.085	0.045	0.8694	0.6008	0.4966	0.7604	0.9219	0.9614	0.8855	
