Architecture	Latent Dim	Sandard Deviation	Batch Size	Epochs	Learning Rate	Kernel Size	Filters	Stride	Loss	Davies-Bouldin Score	Calinski-Harabasz Score
MLP	8	0.05	128	1	0.0005	4	8	1	0.43	3.74	4518.08	
MLP	8	0.05	128	1	0.0005	4	8	2	0.72	3.74	4629.55	
MLP	8	0.05	128	1	0.0005	4	8	4	0.92	4.61	3073.99	
MLP	8	0.05	128	1	0.0005	4	24	1	0.24	3.91	4199.33	
MLP	8	0.05	128	1	0.0005	4	24	2	0.32	3.76	4571.31	
MLP	8	0.05	128	1	0.0005	4	24	4	0.33	3.44	5424.32	
MLP	8	0.05	128	1	0.0005	4	48	1	0.19	4.03	3976.88	
MLP	8	0.05	128	1	0.0005	4	48	2	0.2	3.66	4802.78	
MLP	8	0.05	128	1	0.0005	4	48	4	0.24	3.71	4725.64	
MLP	8	0.05	128	1	0.0005	8	8	1	0.34	4.14	3801.79	
MLP	8	0.05	128	1	0.0005	8	8	2	0.49	6.02	1784.2	
MLP	8	0.05	128	1	0.0005	8	8	4	0.59	5.42	2194.8	
MLP	8	0.05	128	1	0.0005	8	24	1	0.25	3.42	5470.36	
MLP	8	0.05	128	1	0.0005	8	24	2	0.27	3.94	4103.81	
MLP	8	0.05	128	1	0.0005	8	24	4	0.33	3.87	4261.57	
MLP	8	0.05	128	1	0.0005	8	48	1	0.19	4.18	3671.12	
MLP	8	0.05	128	1	0.0005	8	48	2	0.23	3.34	5774.28	
MLP	8	0.05	128	1	0.0005	8	48	4	0.27	3.66	4789.95	
MLP	8	0.05	128	1	0.0005	16	8	1	0.71	3.71	4673.78	
MLP	8	0.05	128	1	0.0005	16	8	2	0.91	2.88	7989.89	
MLP	8	0.05	128	1	0.0005	16	8	4	0.83	4.61	3035.38	
MLP	8	0.05	128	1	0.0005	16	24	1	0.23	3.87	4334.77	
MLP	8	0.05	128	1	0.0005	16	24	2	0.22	3.86	4394.08	
MLP	8	0.05	128	1	0.0005	16	24	4	0.39	3.85	4322.76	
MLP	8	0.05	128	1	0.0005	16	48	1	0.18	3.56	5087.2	
MLP	8	0.05	128	1	0.0005	16	48	2	0.19	3.73	4600.65	
MLP	8	0.05	128	1	0.0005	16	48	4	0.23	3.85	4280.89	
MLP	8	0.05	128	5	0.0005	4	8	1	0.49	3.97	4016.86	
MLP	8	0.05	128	5	0.0005	4	8	2	0.77	3.68	4688.11	
MLP	8	0.05	128	5	0.0005	4	8	4	0.74	3.99	4096.94	
MLP	8	0.05	128	5	0.0005	4	24	1	0.24	4.12	3731.54	
MLP	8	0.05	128	5	0.0005	4	24	2	0.31	4.0	4039.25	
MLP	8	0.05	128	5	0.0005	4	24	4	0.33	4.15	3685.9	
MLP	8	0.05	128	5	0.0005	4	48	1	0.22	4.43	3511.86	
MLP	8	0.05	128	5	0.0005	4	48	2	0.24	4.33	3587.97	
MLP	8	0.05	128	5	0.0005	4	48	4	0.24	4.12	3781.52	
MLP	8	0.05	128	5	0.0005	8	8	1	0.61	3.83	4388.46	
MLP	8	0.05	128	5	0.0005	8	8	2	0.76	4.01	3969.49	
MLP	8	0.05	128	5	0.0005	8	8	4	0.99	3.9	4247.51	
MLP	8	0.05	128	5	0.0005	8	24	1	0.27	4.0	4070.46	
MLP	8	0.05	128	5	0.0005	8	24	2	0.35	3.64	4801.69	
MLP	8	0.05	128	5	0.0005	8	24	4	0.32	4.07	3883.82	
MLP	8	0.05	128	5	0.0005	8	48	1	0.19	4.42	3566.05	
MLP	8	0.05	128	5	0.0005	8	48	2	0.21	4.11	3977.35	
MLP	8	0.05	128	5	0.0005	8	48	4	0.22	4.15	3830.79	
MLP	8	0.05	128	5	0.0005	16	8	1	0.41	3.78	4455.78	
MLP	8	0.05	128	5	0.0005	16	8	2	0.42	3.79	4449.77	
MLP	8	0.05	128	5	0.0005	16	8	4	0.7	5.82	1886.21	
MLP	8	0.05	128	5	0.0005	16	24	1	0.27	3.96	4078.37	
MLP	8	0.05	128	5	0.0005	16	24	2	0.47	4.1	3930.66	
MLP	8	0.05	128	5	0.0005	16	24	4	0.29	3.85	4295.22	
MLP	8	0.05	128	5	0.0005	16	48	1	0.2	3.91	4298.64	
MLP	8	0.05	128	5	0.0005	16	48	2	0.21	4.06	4015.2	
MLP	8	0.05	128	5	0.0005	16	48	4	0.28	3.99	4153.04	
MLP	8	0.05	128	10	0.0005	4	8	1	0.44	4.05	3864.06	
MLP	8	0.05	128	10	0.0005	4	8	2	0.52	3.8	4449.2	
MLP	8	0.05	128	10	0.0005	4	8	4	0.82	3.82	4336.06	
MLP	8	0.05	128	10	0.0005	4	24	1	0.22	4.21	4384.73	
MLP	8	0.05	128	10	0.0005	4	24	2	0.35	4.17	3793.87	
MLP	8	0.05	128	10	0.0005	4	24	4	0.3	4.59	3084.19	
MLP	8	0.05	128	10	0.0005	4	48	1	0.24	4.32	3818.81	
MLP	8	0.05	128	10	0.0005	4	48	2	0.27	3.77	4510.07	
MLP	8	0.05	128	10	0.0005	4	48	4	0.26	4.3	3732.45	
MLP	8	0.05	128	10	0.0005	8	8	1	0.41	3.94	4115.03	
MLP	8	0.05	128	10	0.0005	8	8	2	0.55	3.68	4674.15	
MLP	8	0.05	128	10	0.0005	8	8	4	0.82	3.84	4329.32	
MLP	8	0.05	128	10	0.0005	8	24	1	0.24	4.05	3965.4	
MLP	8	0.05	128	10	0.0005	8	24	2	0.37	3.87	4249.57	
MLP	8	0.05	128	10	0.0005	8	24	4	0.38	4.18	3807.2	
MLP	8	0.05	128	10	0.0005	8	48	1	0.23	3.97	4654.82	
MLP	8	0.05	128	10	0.0005	8	48	2	0.26	4.41	3708.84	
MLP	8	0.05	128	10	0.0005	8	48	4	0.2	4.54	3307.32	
MLP	8	0.05	128	10	0.0005	16	8	1	0.46	3.69	4728.64	
MLP	8	0.05	128	10	0.0005	16	8	2	0.46	4.1	3755.29	
MLP	8	0.05	128	10	0.0005	16	8	4	1.02	3.86	4311.64	
MLP	8	0.05	128	10	0.0005	16	24	1	0.29	3.89	4186.39	
MLP	8	0.05	128	10	0.0005	16	24	2	0.28	4.56	3277.69	
MLP	8	0.05	128	10	0.0005	16	24	4	0.24	3.78	4408.34	
MLP	8	0.05	128	10	0.0005	16	48	1	0.2	3.62	4808.75	
MLP	8	0.05	128	10	0.0005	16	48	2	0.2	4.05	4099.28	
MLP	8	0.05	128	10	0.0005	16	48	4	0.23	3.74	4614.68	
MLP	8	0.05	128	20	0.0005	4	8	1	0.52	3.61	4866.47	
MLP	8	0.05	128	20	0.0005	4	8	2	0.54	3.93	4091.38	
MLP	8	0.05	128	20	0.0005	4	8	4	0.6	3.72	4602.17	
MLP	8	0.05	128	20	0.0005	4	24	1	0.29	4.32	3635.77	
MLP	8	0.05	128	20	0.0005	4	24	2	0.42	4.25	3692.52	
MLP	8	0.05	128	20	0.0005	4	24	4	0.38	4.32	3475.51	
MLP	8	0.05	128	20	0.0005	4	48	1	0.2	4.1	3830.81	
MLP	8	0.05	128	20	0.0005	4	48	2	0.22	4.2	3811.59	
MLP	8	0.05	128	20	0.0005	4	48	4	0.22	3.88	4164.61	
MLP	8	0.05	128	20	0.0005	8	8	1	0.34	3.98	3962.1	
MLP	8	0.05	128	20	0.0005	8	8	2	0.44	3.87	4208.77	
MLP	8	0.05	128	20	0.0005	8	8	4	0.73	3.78	4460.08	
MLP	8	0.05	128	20	0.0005	8	24	1	0.26	4.06	4062.87	
MLP	8	0.05	128	20	0.0005	8	24	2	0.25	4.13	3851.46	
MLP	8	0.05	128	20	0.0005	8	24	4	0.29	4.08	3964.5	
MLP	8	0.05	128	20	0.0005	8	48	1	0.2	3.71	4541.97	
MLP	8	0.05	128	20	0.0005	8	48	2	0.23	4.35	3616.3	
MLP	8	0.05	128	20	0.0005	8	48	4	0.27	3.98	3954.55	
MLP	8	0.05	128	20	0.0005	16	8	1	0.76	3.81	4376.51	
MLP	8	0.05	128	20	0.0005	16	8	2	0.52	3.75	4504.53	
MLP	8	0.05	128	20	0.0005	16	8	4	0.59	3.71	4575.23	
MLP	8	0.05	128	20	0.0005	16	24	1	0.22	4.14	3849.76	
MLP	8	0.05	128	20	0.0005	16	24	2	0.26	4.01	4008.72	
MLP	8	0.05	128	20	0.0005	16	24	4	0.34	4.37	3497.28	
MLP	8	0.05	128	20	0.0005	16	48	1	0.21	4.15	4227.51	
MLP	8	0.05	128	20	0.0005	16	48	2	0.24	4.22	3511.47	
MLP	8	0.05	128	20	0.0005	16	48	4	0.31	3.53	5034.44	
MLP	8	0.1	128	1	0.0005	4	8	1	0.7	4.68	2893.45	
MLP	8	0.1	128	1	0.0005	4	8	2	0.62	4.48	3135.38	
MLP	8	0.1	128	1	0.0005	4	8	4	0.73	4.76	2853.99	
MLP	8	0.1	128	1	0.0005	4	24	1	0.38	3.93	4133.86	
MLP	8	0.1	128	1	0.0005	4	24	2	0.39	4.54	3086.06	
MLP	8	0.1	128	1	0.0005	4	24	4	0.47	4.08	3786.94	
MLP	8	0.1	128	1	0.0005	4	48	1	0.35	4.25	3585.73	
MLP	8	0.1	128	1	0.0005	4	48	2	0.33	3.95	4233.77	
MLP	8	0.1	128	1	0.0005	4	48	4	0.42	4.3	3544.41	
MLP	8	0.1	128	1	0.0005	8	8	1	0.49	4.61	3140.76	
MLP	8	0.1	128	1	0.0005	8	8	2	0.67	4.45	3190.65	
MLP	8	0.1	128	1	0.0005	8	8	4	0.65	4.95	2566.03	
MLP	8	0.1	128	1	0.0005	8	24	1	0.39	4.4	3321.16	
MLP	8	0.1	128	1	0.0005	8	24	2	0.36	4.23	3548.62	
MLP	8	0.1	128	1	0.0005	8	24	4	0.4	4.08	3830.13	
MLP	8	0.1	128	1	0.0005	8	48	1	0.33	4.09	3852.74	
MLP	8	0.1	128	1	0.0005	8	48	2	0.33	4.38	3343.62	
MLP	8	0.1	128	1	0.0005	8	48	4	0.37	4.42	3254.75	
MLP	8	0.1	128	1	0.0005	16	8	1	0.57	4.49	3117.66	
MLP	8	0.1	128	1	0.0005	16	8	2	0.63	6.26	1805.28	
MLP	8	0.1	128	1	0.0005	16	8	4	0.93	4.44	3282.78	
MLP	8	0.1	128	1	0.0005	16	24	1	0.34	4.3	3502.19	
MLP	8	0.1	128	1	0.0005	16	24	2	0.38	3.84	4307.65	
MLP	8	0.1	128	1	0.0005	16	24	4	0.38	4.47	3145.39	
MLP	8	0.1	128	1	0.0005	16	48	1	0.31	4.0	4346.73	
MLP	8	0.1	128	1	0.0005	16	48	2	0.31	4.55	3072.6	
MLP	8	0.1	128	1	0.0005	16	48	4	0.3	4.31	3426.99	
MLP	8	0.1	128	5	0.0005	4	8	1	0.54	4.69	3159.92	
MLP	8	0.1	128	5	0.0005	4	8	2	0.96	4.37	3398.36	
