Path	Red F1
LOSS0.2_8DBS3.42_8CHS5337.23_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS16_F48_S4	0.2287	
LOSS0.2_8DBS3.8_8CHS4418.51_LATENT8_STDEV0.05_BS128_E5_LR0.001_KS4_F24_S1	0.5149	
LOSS0.17_8DBS3.85_8CHS4244.27_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS16_F24_S2	0.6339	
LOSS0.17_8DBS3.97_8CHS4271.05_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS16_F48_S2	0.2287	
LOSS0.17_8DBS4.38_8CHS4015.51_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS8_F48_S2	0.2288	
LOSS0.18_8DBS3.35_8CHS5658.72_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS16_F48_S1	0.2287	
LOSS0.18_8DBS3.37_8CHS5620.84_LATENT8_STDEV0.05_BS128_E1_LR0.001_KS16_F48_S2	0.2287	
LOSS0.18_8DBS3.56_8CHS5087.2_LATENT8_STDEV0.05_BS128_E1_LR0.0005_KS16_F48_S1	0.2287	
LOSS0.18_8DBS3.65_8CHS4664.19_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS8_F48_S4	0.5231	
LOSS0.18_8DBS3.71_8CHS4518.34_LATENT8_STDEV0.05_BS128_E10_LR0.005_KS8_F24_S2	0.5556	
LOSS0.18_8DBS3.93_8CHS4368.38_LATENT8_STDEV0.05_BS128_E10_LR0.001_KS16_F48_S1	0.2287	
LOSS0.18_8DBS4.22_8CHS3563.71_LATENT8_STDEV0.05_BS128_E1_LR0.005_KS4_F48_S4	0.2287	
LOSS0.18_8DBS4.23_8CHS3682.49_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS4_F48_S4	0.236	
LOSS0.18_8DBS4.49_8CHS3382.56_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS16_F48_S4	0.3885	
LOSS0.18_8DBS4.53_8CHS3435.96_LATENT8_STDEV0.05_BS128_E20_LR0.001_KS8_F48_S4	0.4503	
LOSS0.19_8DBS3.58_8CHS4862.9_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS16_F48_S2	0.6111	
LOSS0.19_8DBS3.65_8CHS4670.9_LATENT8_STDEV0.05_BS128_E20_LR0.005_KS4_F48_S4	0.6509	
LOSS0.19_8DBS3.67_8CHS4640.7_LATENT8_STDEV0.05_BS128_E5_LR0.01_KS4_F8_S2	0.6276	
LOSS0.19_8DBS3.69_8CHS4605.88_LATENT8_STDEV0.05_BS128_E5_LR0.005_KS16_F24_S4	0.2287	
LOSS0.19_8DBS3.72_8CHS4509.29_LATENT8_STDEV0.05_BS128_E10_LR0.01_KS4_F24_S4	0.6301	
LOSS0.19_8DBS3.73_8CHS4600.65_LATENT8_STDEV0.05_BS128_E1_LR0.0005_KS16_F48_S2	0.2287	
LOSS0.19_8DBS3.79_8CHS4339.04_LATENT8_STDEV0.05_BS128_E20_LR0.01_KS8_F24_S4	0.6484	
