Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.01	0.01	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.015	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.02	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.025	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.03	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.035	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.04	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.045	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.05	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.055	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.06	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.065	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.07	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.075	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.08	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.085	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.09	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.095	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.01	0.1	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.01	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.015	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.02	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.025	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.03	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.035	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.04	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.045	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.05	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.055	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.06	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.065	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.07	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.075	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.08	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.085	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.09	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.095	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.015	0.1	0.1291	0.2287	0.1291	1.0	0.0	0.0	0.0	
0.02	0.01	0.1318	0.2293	0.1295	1.0	0.0062	1.0	0.0031	
0.02	0.015	0.1325	0.2294	0.1296	1.0	0.0077	1.0	0.0039	
0.02	0.02	0.1392	0.2308	0.1304	1.0	0.0229	1.0	0.0116	
0.02	0.025	0.1991	0.2438	0.1388	1.0	0.1487	1.0	0.0803	
0.02	0.03	0.2434	0.2505	0.1436	0.9792	0.2363	0.9775	0.1344	
0.02	0.035	0.2542	0.2492	0.1432	0.9583	0.2592	0.9604	0.1498	
0.02	0.04	0.2576	0.248	0.1426	0.9479	0.2669	0.9526	0.1552	
0.02	0.045	0.2562	0.2456	0.1413	0.9375	0.2666	0.9437	0.1552	
0.02	0.05	0.2562	0.2456	0.1413	0.9375	0.2666	0.9437	0.1552	
0.02	0.055	0.2569	0.2457	0.1414	0.9375	0.2677	0.9439	0.156	
0.02	0.06	0.2569	0.2457	0.1414	0.9375	0.2677	0.9439	0.156	
0.02	0.065	0.2569	0.2457	0.1414	0.9375	0.2677	0.9439	0.156	
0.02	0.07	0.2569	0.2457	0.1414	0.9375	0.2677	0.9439	0.156	
0.02	0.075	0.2576	0.2459	0.1415	0.9375	0.2689	0.9442	0.1568	
0.02	0.08	0.2576	0.2459	0.1415	0.9375	0.2689	0.9442	0.1568	
0.02	0.085	0.2576	0.2459	0.1415	0.9375	0.2689	0.9442	0.1568	
0.02	0.09	0.2576	0.2459	0.1415	0.9375	0.2689	0.9442	0.1568	
0.02	0.095	0.2576	0.2459	0.1415	0.9375	0.2689	0.9442	0.1568	
0.02	0.1	0.2576	0.2459	0.1415	0.9375	0.2689	0.9442	0.1568	
0.025	0.01	0.1372	0.2304	0.1302	1.0	0.0184	1.0	0.0093	
0.025	0.015	0.1406	0.231	0.1306	1.0	0.0259	1.0	0.0131	
0.025	0.02	0.15	0.233	0.1319	1.0	0.0468	1.0	0.0239	
0.025	0.025	0.3127	0.2679	0.1553	0.974	0.3523	0.9823	0.2147	
0.025	0.03	0.4492	0.2958	0.1771	0.8958	0.5478	0.9612	0.383	
0.025	0.035	0.4882	0.2999	0.1821	0.849	0.5967	0.951	0.4347	
0.025	0.04	0.501	0.296	0.181	0.8125	0.6135	0.9424	0.4548	
0.025	0.045	0.4997	0.2901	0.1776	0.7917	0.6137	0.9366	0.4564	
0.025	0.05	0.4983	0.2868	0.1756	0.7812	0.6131	0.9336	0.4564	
