Architecture	Latent Dim	Standard Deviation	Batch Size	Epochs	Learning Rate	Activation	Loss	Davies-Bouldin Score	Calinski-Harabasz Score
MLP	8	0.05	128	1	0.0005	relu	1.08	4.84	2863.49	
MLP	8	0.05	128	1	0.0005	tanh	0.77	5.25	2314.49	
MLP	8	0.05	128	5	0.0005	relu	1.11	6.5	1487.63	
MLP	8	0.05	128	5	0.0005	tanh	0.95	4.09	3924.91	
MLP	8	0.05	128	10	0.0005	relu	1.35	4.65	3693.21	
MLP	8	0.05	128	10	0.0005	tanh	0.8	5.46	2943.36	
MLP	8	0.05	128	30	0.0005	relu	0.73	5.97	2363.17	
MLP	8	0.05	128	30	0.0005	tanh	0.66	4.02	4282.28	
MLP	8	0.1	128	1	0.0005	relu	1.03	4.11	3735.12	
MLP	8	0.1	128	1	0.0005	tanh	0.91	4.99	2566.7	
MLP	8	0.1	128	5	0.0005	relu	0.85	5.26	2326.21	
MLP	8	0.1	128	5	0.0005	tanh	0.96	4.81	3215.51	
MLP	8	0.1	128	10	0.0005	relu	0.96	4.92	2989.33	
MLP	8	0.1	128	10	0.0005	tanh	0.94	5.25	2846.54	
MLP	8	0.1	128	30	0.0005	relu	0.86	5.14	2677.64	
MLP	8	0.1	128	30	0.0005	tanh	0.74	5.69	2270.56	
MLP	8	0.5	128	1	0.0005	relu	1.32	4.56	3070.91	
MLP	8	0.5	128	1	0.0005	tanh	2.16	4.33	3399.94	
MLP	8	0.5	128	5	0.0005	relu	1.3	6.83	1358.64	
MLP	8	0.5	128	5	0.0005	tanh	1.67	6.61	1449.13	
MLP	8	0.5	128	10	0.0005	relu	1.48	6.72	1392.61	
MLP	8	0.5	128	10	0.0005	tanh	1.61	6.97	1298.26	
MLP	8	0.5	128	30	0.0005	relu	1.5	6.72	1390.22	
MLP	8	0.5	128	30	0.0005	tanh	1.8	6.67	1406.58	
MLP	8	0.05	128	1	0.001	relu	0.46	5.34	2151.83	
MLP	8	0.05	128	1	0.001	tanh	0.45	4.96	2691.14	
MLP	8	0.05	128	5	0.001	relu	0.53	4.48	3538.28	
MLP	8	0.05	128	5	0.001	tanh	0.44	5.58	2910.31	
MLP	8	0.05	128	10	0.001	relu	0.66	3.89	4341.6	
MLP	8	0.05	128	10	0.001	tanh	0.76	4.45	3649.64	
MLP	8	0.05	128	30	0.001	relu	0.6	8.81	1277.13	
MLP	8	0.05	128	30	0.001	tanh	0.52	4.77	3389.27	
MLP	8	0.1	128	1	0.001	relu	0.84	4.62	2961.22	
MLP	8	0.1	128	1	0.001	tanh	1.04	5.85	1870.95	
MLP	8	0.1	128	5	0.001	relu	0.62	6.47	1519.6	
MLP	8	0.1	128	5	0.001	tanh	0.73	7.15	1679.33	
MLP	8	0.1	128	10	0.001	relu	0.58	7.63	1740.56	
MLP	8	0.1	128	10	0.001	tanh	0.75	6.49	1448.77	
MLP	8	0.1	128	30	0.001	relu	0.56	9.49	713.23	
MLP	8	0.1	128	30	0.001	tanh	0.87	5.27	2788.25	
MLP	8	0.5	128	1	0.001	relu	1.22	5.46	2121.41	
MLP	8	0.5	128	1	0.001	tanh	1.43	5.99	1755.9	
MLP	8	0.5	128	5	0.001	relu	1.26	6.49	1517.37	
MLP	8	0.5	128	5	0.001	tanh	1.45	6.84	1394.6	
MLP	8	0.5	128	10	0.001	relu	1.31	6.82	1340.05	
MLP	8	0.5	128	10	0.001	tanh	1.24	6.65	1416.31	
MLP	8	0.5	128	30	0.001	relu	1.18	6.65	1416.91	
MLP	8	0.5	128	30	0.001	tanh	1.35	6.87	1333.62	
MLP	8	0.05	128	1	0.005	relu	0.23	5.22	2297.23	
MLP	8	0.05	128	1	0.005	tanh	0.23	5.13	3038.64	
MLP	8	0.05	128	5	0.005	relu	0.25	4.21	4050.07	
MLP	8	0.05	128	5	0.005	tanh	0.27	8.93	962.29	
MLP	8	0.05	128	10	0.005	relu	0.3	3.89	5073.76	
MLP	8	0.05	128	10	0.005	tanh	0.29	3.82	5134.47	
MLP	8	0.05	128	30	0.005	relu	0.25	3.89	5085.45	
MLP	8	0.05	128	30	0.005	tanh	0.25	4.41	4188.42	
MLP	8	0.1	128	1	0.005	relu	0.34	3.8	4336.79	
MLP	8	0.1	128	1	0.005	tanh	0.37	3.75	4503.56	
MLP	8	0.1	128	5	0.005	relu	0.35	5.57	2272.8	
MLP	8	0.1	128	5	0.005	tanh	0.35	6.99	1252.41	
MLP	8	0.1	128	10	0.005	relu	0.37	4.11	3729.87	
MLP	8	0.1	128	10	0.005	tanh	0.37	5.2	2901.51	
MLP	8	0.1	128	30	0.005	relu	0.35	4.69	3613.29	
MLP	8	0.1	128	30	0.005	tanh	0.35	5.04	3127.27	
MLP	8	0.5	128	1	0.005	relu	1.02	6.72	1386.5	
MLP	8	0.5	128	1	0.005	tanh	1.03	6.59	1452.72	
MLP	8	0.5	128	5	0.005	relu	0.94	7.08	1273.44	
MLP	8	0.5	128	5	0.005	tanh	1.09	6.9	1314.61	
MLP	8	0.5	128	10	0.005	relu	0.95	6.81	1343.42	
MLP	8	0.5	128	10	0.005	tanh	1.05	7.18	1215.36	
MLP	8	0.5	128	30	0.005	relu	0.98	6.81	1350.04	
MLP	8	0.5	128	30	0.005	tanh	1.14	6.88	1308.49	
MLP	8	0.05	128	1	0.01	relu	0.22	3.98	4069.54	
MLP	8	0.05	128	1	0.01	tanh	0.22	6.02	2120.13	
MLP	8	0.05	128	5	0.01	relu	0.23	5.05	2730.8	
MLP	8	0.05	128	5	0.01	tanh	0.23	4.57	3156.21	
MLP	8	0.05	128	10	0.01	relu	0.26	3.8	4339.33	
MLP	8	0.05	128	10	0.01	tanh	0.22	4.48	4197.05	
MLP	8	0.05	128	30	0.01	relu	0.24	3.84	5119.94	
MLP	8	0.05	128	30	0.01	tanh	0.25	4.42	4104.96	
MLP	8	0.1	128	1	0.01	relu	0.31	4.35	3515.13	
MLP	8	0.1	128	1	0.01	tanh	0.33	6.0	1918.33	
MLP	8	0.1	128	5	0.01	relu	0.37	4.75	3202.97	
MLP	8	0.1	128	5	0.01	tanh	0.35	4.98	3195.6	
MLP	8	0.1	128	10	0.01	relu	0.31	4.63	3304.36	
MLP	8	0.1	128	10	0.01	tanh	0.35	4.85	3270.28	
MLP	8	0.1	128	30	0.01	relu	0.33	5.12	2919.65	
MLP	8	0.1	128	30	0.01	tanh	0.35	4.66	3469.34	
MLP	8	0.5	128	1	0.01	relu	1.0	6.59	1439.35	
MLP	8	0.5	128	1	0.01	tanh	0.97	7.65	1110.2	
MLP	8	0.5	128	5	0.01	relu	0.92	6.71	1381.35	
MLP	8	0.5	128	5	0.01	tanh	0.98	6.92	1305.0	
MLP	8	0.5	128	10	0.01	relu	0.9	6.71	1384.52	
MLP	8	0.5	128	10	0.01	tanh	0.92	6.77	1360.23	
MLP	8	0.5	128	30	0.01	relu	0.93	6.87	1326.57	
MLP	8	0.5	128	30	0.01	tanh	1.01	6.82	1352.08	
