Path	Red F1
LOSS0.22_8DBS3.98_8CHS4069.54_LATENT8_STDEV0.05_BS128_E1_LR0.01_ACTrelu	0.2287	
LOSS0.22_8DBS4.48_8CHS4197.05_LATENT8_STDEV0.05_BS128_E10_LR0.01_ACTtanh	0.2287	
LOSS0.22_8DBS6.02_8CHS2120.13_LATENT8_STDEV0.05_BS128_E1_LR0.01_ACTtanh	0.2287	
LOSS0.23_8DBS4.57_8CHS3156.21_LATENT8_STDEV0.05_BS128_E5_LR0.01_ACTtanh	0.2287	
LOSS0.23_8DBS5.05_8CHS2730.8_LATENT8_STDEV0.05_BS128_E5_LR0.01_ACTrelu	0.2287	
LOSS0.23_8DBS5.13_8CHS3038.64_LATENT8_STDEV0.05_BS128_E1_LR0.005_ACTtanh	0.2287	
LOSS0.23_8DBS5.22_8CHS2297.23_LATENT8_STDEV0.05_BS128_E1_LR0.005_ACTrelu	0.2287	
LOSS0.24_8DBS3.84_8CHS5119.94_LATENT8_STDEV0.05_BS128_E30_LR0.01_ACTrelu	0.2287	
LOSS0.25_8DBS3.89_8CHS5085.45_LATENT8_STDEV0.05_BS128_E30_LR0.005_ACTrelu	0.2287	
LOSS0.25_8DBS4.21_8CHS4050.07_LATENT8_STDEV0.05_BS128_E5_LR0.005_ACTrelu	0.2287	
LOSS0.25_8DBS4.41_8CHS4188.42_LATENT8_STDEV0.05_BS128_E30_LR0.005_ACTtanh	0.2287	
LOSS0.25_8DBS4.42_8CHS4104.96_LATENT8_STDEV0.05_BS128_E30_LR0.01_ACTtanh	0.2287	
LOSS0.26_8DBS3.8_8CHS4339.33_LATENT8_STDEV0.05_BS128_E10_LR0.01_ACTrelu	0.2316	
LOSS0.27_8DBS8.93_8CHS962.29_LATENT8_STDEV0.05_BS128_E5_LR0.005_ACTtanh	0.2287	
LOSS0.29_8DBS3.82_8CHS5134.47_LATENT8_STDEV0.05_BS128_E10_LR0.005_ACTtanh	0.2287	
LOSS0.31_8DBS4.35_8CHS3515.13_LATENT8_STDEV0.1_BS128_E1_LR0.01_ACTrelu	0.2287	
LOSS0.31_8DBS4.63_8CHS3304.36_LATENT8_STDEV0.1_BS128_E10_LR0.01_ACTrelu	0.2287	
LOSS0.33_8DBS5.12_8CHS2919.65_LATENT8_STDEV0.1_BS128_E30_LR0.01_ACTrelu	0.2287	
LOSS0.33_8DBS6.0_8CHS1918.33_LATENT8_STDEV0.1_BS128_E1_LR0.01_ACTtanh	0.2287	
LOSS0.34_8DBS3.8_8CHS4336.79_LATENT8_STDEV0.1_BS128_E1_LR0.005_ACTrelu	0.2287	
LOSS0.35_8DBS4.66_8CHS3469.34_LATENT8_STDEV0.1_BS128_E30_LR0.01_ACTtanh	0.2287	
LOSS0.35_8DBS4.69_8CHS3613.29_LATENT8_STDEV0.1_BS128_E30_LR0.005_ACTrelu	0.2287	
LOSS0.35_8DBS4.85_8CHS3270.28_LATENT8_STDEV0.1_BS128_E10_LR0.01_ACTtanh	0.2287	
LOSS0.35_8DBS4.98_8CHS3195.6_LATENT8_STDEV0.1_BS128_E5_LR0.01_ACTtanh	0.2287	
LOSS0.35_8DBS5.04_8CHS3127.27_LATENT8_STDEV0.1_BS128_E30_LR0.005_ACTtanh	0.2287	
LOSS0.35_8DBS5.57_8CHS2272.8_LATENT8_STDEV0.1_BS128_E5_LR0.005_ACTrelu	0.2287	
LOSS0.35_8DBS6.99_8CHS1252.41_LATENT8_STDEV0.1_BS128_E5_LR0.005_ACTtanh	0.2287	
LOSS0.37_8DBS3.75_8CHS4503.56_LATENT8_STDEV0.1_BS128_E1_LR0.005_ACTtanh	0.2287	
LOSS0.37_8DBS4.11_8CHS3729.87_LATENT8_STDEV0.1_BS128_E10_LR0.005_ACTrelu	0.621	
LOSS0.37_8DBS4.75_8CHS3202.97_LATENT8_STDEV0.1_BS128_E5_LR0.01_ACTrelu	0.2287	
LOSS0.37_8DBS5.2_8CHS2901.51_LATENT8_STDEV0.1_BS128_E10_LR0.005_ACTtanh	0.2287	
LOSS0.3_8DBS3.89_8CHS5073.76_LATENT8_STDEV0.05_BS128_E10_LR0.005_ACTrelu	0.2287	
