Architecture	Latent Dim	Sandard Deviation	Batch Size	Epochs	Learning Rate	Loss	Davies-Bouldin Score	Calinski-Harabasz Score
MLP	8	0.05	128	1	0.0005	1.24	5.26	2381.13	
MLP	8	0.05	128	5	0.0005	1.22	3.97	4099.35	
MLP	8	0.05	128	10	0.0005	1.27	3.86	4217.95	
MLP	8	0.05	128	20	0.0005	1.51	4.11	3964.68	
MLP	8	0.1	128	1	0.0005	0.98	3.98	4063.66	
MLP	8	0.1	128	5	0.0005	1.35	4.19	3666.83	
MLP	8	0.1	128	10	0.0005	1.24	4.04	3901.75	
MLP	8	0.1	128	20	0.0005	1.35	4.08	3752.13	
MLP	8	0.5	128	1	0.0005	2.23	5.79	1927.7	
MLP	8	0.5	128	5	0.0005	2.63	6.67	1406.32	
MLP	8	0.5	128	10	0.0005	1.75	7.01	1309.59	
MLP	8	0.5	128	20	0.0005	1.95	6.65	1408.9	
MLP	8	0.05	128	1	0.001	0.84	5.39	2228.13	
MLP	8	0.05	128	5	0.001	0.7	3.74	4553.66	
MLP	8	0.05	128	10	0.001	0.69	3.57	4904.19	
MLP	8	0.05	128	20	0.001	0.73	3.69	4589.65	
MLP	8	0.1	128	1	0.001	0.92	6.48	1523.56	
MLP	8	0.1	128	5	0.001	0.85	4.37	3375.41	
MLP	8	0.1	128	10	0.001	0.84	3.81	4294.33	
MLP	8	0.1	128	20	0.001	0.82	6.49	1476.29	
MLP	8	0.5	128	1	0.001	1.53	7.24	1207.27	
MLP	8	0.5	128	5	0.001	1.57	7.16	1271.25	
MLP	8	0.5	128	10	0.001	1.44	7.01	1287.77	
MLP	8	0.5	128	20	0.001	1.49	7.0	1270.46	
MLP	8	0.05	128	1	0.005	0.35	3.85	4219.94	
MLP	8	0.05	128	5	0.005	0.29	3.89	4129.91	
MLP	8	0.05	128	10	0.005	0.34	3.88	4130.15	
MLP	8	0.05	128	20	0.005	0.36	6.77	1355.99	
MLP	8	0.1	128	1	0.005	0.37	3.9	4105.47	
MLP	8	0.1	128	5	0.005	0.38	3.92	4067.33	
MLP	8	0.1	128	10	0.005	0.39	3.77	4380.89	
MLP	8	0.1	128	20	0.005	0.36	4.0	3891.59	
MLP	8	0.5	128	1	0.005	1.03	7.12	1229.08	
MLP	8	0.5	128	5	0.005	1.02	6.92	1299.71	
MLP	8	0.5	128	10	0.005	1.09	6.57	1443.33	
MLP	8	0.5	128	20	0.005	0.98	6.83	1332.48	
MLP	8	0.05	128	1	0.01	0.24	3.87	4171.08	
MLP	8	0.05	128	5	0.01	0.21	3.66	4650.9	
MLP	8	0.05	128	10	0.01	0.23	3.68	4597.69	
MLP	8	0.05	128	20	0.01	0.22	3.7	4555.38	
MLP	8	0.1	128	1	0.01	0.38	4.26	3432.95	
MLP	8	0.1	128	5	0.01	0.33	6.89	1309.78	
MLP	8	0.1	128	10	0.01	0.31	4.19	3540.8	
MLP	8	0.1	128	20	0.01	0.35	3.81	4278.76	
MLP	8	0.5	128	1	0.01	0.93	7.02	1263.79	
MLP	8	0.5	128	5	0.01	0.93	6.74	1368.7	
MLP	8	0.5	128	10	0.01	0.96	6.79	1350.47	
MLP	8	0.5	128	20	0.01	1.06	6.82	1337.71	
