Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.02	0.02	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.022	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.024	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.026	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.028	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.03	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.032	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.034	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.036	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.038	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.04	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.042	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.044	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.046	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.048	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.05	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.052	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.054	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.056	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.058	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.06	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.062	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.064	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.066	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.068	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.07	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.072	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.074	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.076	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.078	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.08	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.082	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.084	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.086	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.088	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.09	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.092	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.094	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.096	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.098	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.1	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.102	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.104	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.106	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.108	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.11	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.112	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.114	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.116	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.118	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.12	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.122	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.124	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.126	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.128	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.13	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.132	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.134	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.136	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.02	0.138	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
