Direct Threshold	Averaged Threshold	Accuracy	Red F1	Red Precision	Red Recall	Green F1	Green Precision	Green Recall
0.04	0.04	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.04	0.045	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.04	0.05	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.04	0.055	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.04	0.06	0.1286	0.2279	0.1287	0.9948	0.0	0.0	0.0	
0.04	0.065	0.1293	0.2281	0.1288	0.9948	0.0015	0.5	0.0008	
0.04	0.07	0.1293	0.2281	0.1288	0.9948	0.0015	0.5	0.0008	
0.04	0.075	0.1286	0.227	0.1282	0.9896	0.0015	0.3333	0.0008	
0.04	0.08	0.1306	0.2274	0.1285	0.9896	0.0062	0.6667	0.0031	
0.04	0.085	0.1306	0.2274	0.1285	0.9896	0.0062	0.6667	0.0031	
0.04	0.09	0.1306	0.2274	0.1285	0.9896	0.0062	0.6667	0.0031	
0.04	0.095	0.13	0.2263	0.1279	0.9844	0.0062	0.5714	0.0031	
0.04	0.1	0.13	0.2263	0.1279	0.9844	0.0062	0.5714	0.0031	
0.04	0.105	0.1293	0.2253	0.1273	0.9792	0.0061	0.5	0.0031	
0.04	0.11	0.1293	0.2253	0.1273	0.9792	0.0061	0.5	0.0031	
0.04	0.115	0.1293	0.2253	0.1273	0.9792	0.0061	0.5	0.0031	
0.04	0.12	0.1293	0.2253	0.1273	0.9792	0.0061	0.5	0.0031	
0.04	0.125	0.1293	0.2253	0.1273	0.9792	0.0061	0.5	0.0031	
0.04	0.13	0.1293	0.2253	0.1273	0.9792	0.0061	0.5	0.0031	
0.04	0.135	0.1293	0.2253	0.1273	0.9792	0.0061	0.5	0.0031	
0.04	0.14	0.1286	0.2242	0.1267	0.974	0.0061	0.4444	0.0031	
0.04	0.145	0.1286	0.2242	0.1267	0.974	0.0061	0.4444	0.0031	
0.04	0.15	0.1286	0.2242	0.1267	0.974	0.0061	0.4444	0.0031	
0.045	0.04	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.045	0.045	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.045	0.05	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.045	0.055	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.045	0.06	0.1286	0.2279	0.1287	0.9948	0.0	0.0	0.0	
0.045	0.065	0.1293	0.2281	0.1288	0.9948	0.0015	0.5	0.0008	
0.045	0.07	0.1293	0.2281	0.1288	0.9948	0.0015	0.5	0.0008	
0.045	0.075	0.1279	0.2259	0.1276	0.9844	0.0015	0.25	0.0008	
0.045	0.08	0.1286	0.2242	0.1267	0.974	0.0061	0.4444	0.0031	
0.045	0.085	0.1293	0.2244	0.1268	0.974	0.0077	0.5	0.0039	
0.045	0.09	0.1293	0.2244	0.1268	0.974	0.0077	0.5	0.0039	
0.045	0.095	0.1279	0.2222	0.1256	0.9635	0.0077	0.4167	0.0039	
0.045	0.1	0.1279	0.2222	0.1256	0.9635	0.0077	0.4167	0.0039	
0.045	0.105	0.1273	0.2212	0.125	0.9583	0.0077	0.3846	0.0039	
0.045	0.11	0.1273	0.2212	0.125	0.9583	0.0077	0.3846	0.0039	
0.045	0.115	0.1273	0.2212	0.125	0.9583	0.0077	0.3846	0.0039	
0.045	0.12	0.1273	0.2212	0.125	0.9583	0.0077	0.3846	0.0039	
0.045	0.125	0.1273	0.2212	0.125	0.9583	0.0077	0.3846	0.0039	
0.045	0.13	0.1273	0.2212	0.125	0.9583	0.0077	0.3846	0.0039	
0.045	0.135	0.1273	0.2212	0.125	0.9583	0.0077	0.3846	0.0039	
0.045	0.14	0.1259	0.219	0.1238	0.9479	0.0076	0.3333	0.0039	
0.045	0.145	0.1259	0.219	0.1238	0.9479	0.0076	0.3333	0.0039	
0.045	0.15	0.1259	0.219	0.1238	0.9479	0.0076	0.3333	0.0039	
0.05	0.04	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.05	0.045	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.05	0.05	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.05	0.055	0.1293	0.229	0.1293	1.0	0.0	0.0	0.0	
0.05	0.06	0.1286	0.2279	0.1287	0.9948	0.0	0.0	0.0	
0.05	0.065	0.1293	0.2281	0.1288	0.9948	0.0015	0.5	0.0008	
0.05	0.07	0.1286	0.227	0.1282	0.9896	0.0015	0.3333	0.0008	
0.05	0.075	0.1273	0.2249	0.127	0.9792	0.0015	0.2	0.0008	
0.05	0.08	0.1279	0.2232	0.1261	0.9688	0.0061	0.4	0.0031	
0.05	0.085	0.1293	0.2234	0.1263	0.9688	0.0092	0.5	0.0046	
0.05	0.09	0.1306	0.2228	0.1259	0.9635	0.0138	0.5625	0.007	
0.05	0.095	0.1293	0.2206	0.1247	0.9531	0.0137	0.5	0.007	
0.05	0.1	0.1293	0.2206	0.1247	0.9531	0.0137	0.5	0.007	
0.05	0.105	0.1286	0.2195	0.1241	0.9479	0.0137	0.4737	0.007	
0.05	0.11	0.1279	0.2185	0.1235	0.9427	0.0137	0.45	0.007	
0.05	0.115	0.1279	0.2185	0.1235	0.9427	0.0137	0.45	0.007	
0.05	0.12	0.1279	0.2185	0.1235	0.9427	0.0137	0.45	0.007	
0.05	0.125	0.1273	0.2174	0.123	0.9375	0.0137	0.4286	0.007	
0.05	0.13	0.1273	0.2174	0.123	0.9375	0.0137	0.4286	0.007	
0.05	0.135	0.1273	0.2174	0.123	0.9375	0.0137	0.4286	0.007	
0.05	0.14	0.1259	0.2152	0.1218	0.9271	0.0137	0.3913	0.007	
0.05	0.145	0.1259	0.2152	0.1218	0.9271	0.0137	0.3913	0.007	
